Phrasenum,Word,Minimal Pair,Carrier,Has Image,Needs New Image,Can't Image,Verified w/ Native?,IPA,Gloss,Gloss 2,Syllable,Segment,Type,Position,Position 2,Contrast (IPA),Contrast,Experiment,Frequency (ARALEX2.0),Frequency (ARALEX),New Carrier,Context Phrase,Source,Notes
1,حُبوب,هُبوب,قال حُبوب واحد و خمسين مرة,X,,,X,ħʊbuːb,seeds,,CVCVC,ħ,pharyngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « حُبوب » واحد و خَمسين مَرة,,ChatGPT,
2,أمل,عَمَل,قال أَمل واحد و خمسين مرة,X,,,X,ʔamal,hope,,CVCVC,ʔ,pharyngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « أَمل » واحد و خَمسين مَرة,,Personal Knowledge,
3,هالة,حالة,قال هالة واحد و خمسين مرة,X,,,X,haːla,name (halo),,CVːCV,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « هالة » واحد و خَمسين مَرة,اِشترى لنا هال بالسوق,ChatGPT,
4,عَدّ,حَدّ,قال عَدّ واحد و خمسين مرة,X,,,X,ʕadː,counting,,CVCː,ʕ,pharyngeal,Initial,CV,ʕ - ħ,pharyngeal-pharyngeal,Pilot (157),,,يقول « عَدّ » واحد و خَمسين مَرة,,Lisaaniyat,
5,تين,طين,قال تين واحد و خمسين مرة,X,,,X,tin,fig,,CVC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,Pilot (157),,,يقول « تين » واحد و خَمسين مَرة,,https://linguistics.berkeley.edu/acip/appendix/languages/arabic/arabic.html,
6,سيف,صيف,قال سيف واحد و خمسين مرة,X,,,X,sa͡ɪf,sword,,CVC,s,plain,Initial,CV,s - sˤ,plain-pharyngealized,Pilot (157),,,يقول « سيف » واحد و خَمسين مَرة,,Personal Knowledge,
7,نَسَبَ,نَصَبَ,قال نَسَبَ واحد و خمسين مرة,,,X,X,nasaba,attribute,,CVCVCV,s,plain,Medial,VCV,s - sˤ,plain-pharyngealized,Pilot (157),,,يقول « نَسَبَ » واحد و خَمسين مَرة,,,
8,هُبوب,حُبوب,قال هُبوب واحد و خمسين مرة,X,,,X,hʊbuːb,blowing,dust storm,CVCVC,h,laryngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « هُبوب » واحد و خَمسين مَرة,,ChatGPT,
9,عَمَل,أمل,قال عَمَل واحد و خمسين مرة,X,,,X,ʕamal,he worked,,CVCVC,ʕ,laryngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عَمَل » واحد و خَمسين مَرة,,Personal Knowledge,
10,حالة,هالة,قال حالة واحد و خمسين مرة,X,,,X,ħaːla,condition,,CVːCV,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « حالة » واحد و خَمسين مَرة,,ChatGPT,
11,حَدّ,عَدّ,قال حَدّ واحد و خمسين مرة,,,,X,ħadː,boundary,to sharpen,CVCː,ħ,pharyngeal,Initial,CV,redundant,pharyngeal-pharyngeal,Pilot (157),,,يقول « حَدّ » واحد و خَمسين مَرة,,Lisaaniyat,
12,طين,تين,قال طين واحد و خمسين مرة,X,,,X,tˤin,clay,,CVC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « طين » واحد و خَمسين مَرة,,https://linguistics.berkeley.edu/acip/appendix/languages/arabic/arabic.html,
13,صَيف,سيف,قال صَيف واحد و خمسين مرة,X,,,X,sˤa͡ɪf,summer,,CVC,sˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « صَيف » واحد و خَمسين مَرة,,Personal Knowledge,
14,نَصَبَ,نَسَبَ,قال نَصَبَ واحد و خمسين مرة,X,,,X,nasˤaba,"erected, cheat someone",,CVCVCV,sˤ,pharyngealized,Medial,VCV,redundant,plain-pharyngealized,Pilot (157),,,يقول « نَصَبَ » واحد و خَمسين مَرة,,,
15,تِفل,طِفل,قال تِفل واحد و خمسين مرة,,,,X,tifl,coffee grounds,,CVCC,t,plain,Initial,CV,t - tˤ,plain-pharyngealized,Pilot (157),,,يقول « تِفل » واحد و خَمسين مَرة,,Khattab et al. 2006,
16,طِفل,تِفل,قال طِفل واحد و خمسين مرة,,,,X,tˤifl,child,,CVCC,tˤ,pharyngealized,Initial,CV,redundant,plain-pharyngealized,Pilot (157),,,يقول « طِفل » واحد و خَمسين مَرة,,Khattab et al. 2006,
17,هان,حان,قال هان واحد و خمسين مرة,,,X,X,haːn,value of person deteriorated,,CVːC,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,Pilot (157),,,يقول « هان » واحد و خَمسين مَرة,,Twitter,
18,حان,هان,قال حان واحد و خمسين مرة,,,X,X,ħaːn,the moment arrived,,CVːC,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « حان » واحد و خَمسين مَرة,,Twitter,
19,أنْ,عن,قال أنْ واحد و خمسين مرة,,,X,X,ʔan,that,,CVC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,Pilot (157),,,يقول « أنْ » واحد و خَمسين مَرة,,Twitter,
20,عن,أنْ,قال عن واحد و خمسين مرة,,,X,X,ʕan,about,,CVC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « عن » واحد و خَمسين مَرة,,,
21,حَن,أنْ,قال حَن واحد و خمسين مرة,X,,X,X,ħan,"long, yearn",,CVC,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,Pilot (157),,,يقول « حَن » واحد و خَمسين مَرة,,,
22,عِجّة,حِجّة,قال عِجّة واحد و خمسين مرة,X,,,X,ʕɪdʒːa,omelette,,CVCːV,ʕ,pharyngeal,Medial,VCV,ʕ - ħ,pharyngeal-pharyngeal,Pilot (157),,,يقول « عِجّة » واحد و خَمسين مَرة,,Lisaaniyat,
